,year,month,stateid,price,price-units
0,,,HI,0.0,cents per kilowatt-hour
5,,,ID,11.53,cents per kilowatt-hour
6,,,ID,0.0,cents per kilowatt-hour
11,,,IL,14.84,cents per kilowatt-hour
12,,,IL,7.29,cents per kilowatt-hour
17,,,IN,14.58,cents per kilowatt-hour
18,,,IN,11.56,cents per kilowatt-hour
23,,,IA,11.95,cents per kilowatt-hour
24,,,IA,0.0,cents per kilowatt-hour
29,,,KS,12.72,cents per kilowatt-hour
30,,,KS,0.0,cents per kilowatt-hour
35,,,KY,12.34,cents per kilowatt-hour
36,,,KY,0.0,cents per kilowatt-hour
41,,,LA,11.21,cents per kilowatt-hour
42,,,LA,11.22,cents per kilowatt-hour
47,,,ME,27.99,cents per kilowatt-hour
48,,,ME,0.0,cents per kilowatt-hour
53,,,MD,17.46,cents per kilowatt-hour
56,,,WY,12.49,cents per kilowatt-hour
57,,,WY,0.0,cents per kilowatt-hour
62,,,NEW,28.05,cents per kilowatt-hour
63,,,NEW,10.94,cents per kilowatt-hour
68,,,MAT,19.67,cents per kilowatt-hour
69,,,MAT,14.21,cents per kilowatt-hour
74,,,ENC,16.51,cents per kilowatt-hour
75,,,ENC,7.35,cents per kilowatt-hour
80,,,WNC,13.22,cents per kilowatt-hour
81,,,WNC,12.44,cents per kilowatt-hour
86,,,SAT,15.0,cents per kilowatt-hour
87,,,SAT,10.25,cents per kilowatt-hour
92,,,ESC,13.48,cents per kilowatt-hour
93,,,ESC,0.0,cents per kilowatt-hour
98,,,WSC,14.18,cents per kilowatt-hour
99,,,WSC,7.34,cents per kilowatt-hour
106,,,LA,11.42,cents per kilowatt-hour
107,,,LA,10.52,cents per kilowatt-hour
112,,,ME,26.79,cents per kilowatt-hour
113,,,ME,0.0,cents per kilowatt-hour
118,,,MD,16.95,cents per kilowatt-hour
119,,,MD,11.44,cents per kilowatt-hour
124,,,MA,28.18,cents per kilowatt-hour
125,,,MA,6.79,cents per kilowatt-hour
130,,,MI,19.49,cents per kilowatt-hour
131,,,MI,13.71,cents per kilowatt-hour
136,,,MN,15.44,cents per kilowatt-hour
137,,,MN,12.53,cents per kilowatt-hour
142,,,NJ,16.89,cents per kilowatt-hour
143,,,NJ,14.36,cents per kilowatt-hour
144,,,MAT,14.82,cents per kilowatt-hour
149,,,ENC,16.18,cents per kilowatt-hour
150,,,ENC,5.94,cents per kilowatt-hour
155,,,WNC,12.67,cents per kilowatt-hour
156,,,WNC,10.47,cents per kilowatt-hour
161,,,SAT,14.54,cents per kilowatt-hour
162,,,SAT,10.21,cents per kilowatt-hour
167,,,ESC,13.53,cents per kilowatt-hour
168,,,ESC,0.0,cents per kilowatt-hour
173,,,NM,13.27,cents per kilowatt-hour
174,,,NM,0.0,cents per kilowatt-hour
